Finger_1_Joint_1_Angle,Finger_1_Joint_2_Angle,Finger_1_Joint_3_Angle,Finger_2_Joint_1_Angle,Finger_2_Joint_2_Angle,Finger_2_Joint_3_Angle,Finger_3_Joint_1_Angle,Finger_3_Joint_2_Angle,Finger_3_Joint_3_Angle,Finger_4_Joint_1_Angle,Finger_4_Joint_2_Angle,Finger_4_Joint_3_Angle,Finger_5_Joint_1_Angle,Finger_5_Joint_2_Angle,Finger_5_Joint_3_Angle
150.0183606311507,171.71765058296873,177.5736641683975,178.23080869395167,178.50566640873237,179.72454164386423,179.44374777291682,171.5730309785195,178.12212255271405,179.54791222681936,163.2256100127183,173.7896233923383,174.7426624905322,170.53767779197443,165.8276622998681
148.7994853960194,169.38034472384487,172.97160376105037,179.77755494095408,179.92926450568632,179.0843919743401,178.3417192652628,170.86710588837676,176.4743848028256,179.1895588057905,167.47119229084848,169.21570213243743,176.9038004430639,171.54497232282245,168.1188423896411
147.64665600493709,171.25383773744474,177.5804907833437,179.8887461990046,178.99491399474405,178.41618842913732,179.38333733977927,172.90119997482935,173.93154833029283,178.0763794580599,165.0852482604597,174.25584167623296,175.55261514990997,173.50065372034533,166.31354327018977
146.92599238241945,169.51813314851648,175.84478619441524,178.1929578977566,176.92331248611453,179.0843919743401,177.9788012070869,167.2838776497002,179.00443894969146,179.49324271748677,164.03808282516567,174.1605076884825,177.5173466510189,171.79447542589847,169.01134890350593
147.64372515937742,170.24691076715516,175.33474821744886,179.52360482966714,176.92331248611453,179.0843919743401,179.52855456457763,170.79740302797833,176.4743848028256,178.66638674933535,163.94274883741534,172.08109756162278,177.8126827498641,170.98929045318235,169.01134890350593
146.37829283984274,173.20183342550413,177.0242385562633,177.3721352657649,177.82525588538982,178.41618842913732,176.9231532786426,167.8037946686611,176.03534527714388,179.48080938610246,159.90196774334484,173.7896233923383,178.38646106711937,167.47119229084845,171.67434966957316
146.57342679200966,172.59700973283262,173.50065372034538,178.26084975899488,178.50007918094886,177.97714890345586,177.6232575240371,165.54324459994513,176.4813885346629,178.4816721978502,163.673146489435,171.50631217507592,178.98636621329032,165.9849223159327,175.1382678561969
145.9935433331783,171.92410366516174,179.0491200140643,178.48205703805758,178.26429541107208,175.1222441066137,179.4892042058427,166.8551323824492,175.9418961972685,179.969539726645,159.7122473125196,171.37114393697527,179.12398601088356,167.64464013491647,171.8315213759545
145.25369334240037,172.63694258413238,176.20609973512714,178.57581268175608,178.26429541107208,177.97714890345586,179.4892042058427,167.1743256235238,175.622702956194,178.4816721978502,161.20011484134733,173.97934382316362,177.91563166209835,165.9637565320736,169.49493613008258
147.62945895302533,172.63694258413238,176.20609973512714,178.32395901343733,179.93088570359262,175.87650797879755,177.95806124886153,165.05370949374873,173.14488101989943,177.95623653918716,155.4277952278161,168.69006752597988,178.98636621329032,169.29166879617517,166.31354327018977
149.2589550734975,172.63694258413238,176.20609973512714,179.56719301856435,174.89178565672987,178.06070322881567,179.68930372343686,165.39782415201586,172.80076636163233,179.9068362129865,155.4277952278161,171.17962044797898,179.94027544261328,165.9637565320736,166.91700932518893
151.02422445103272,175.40945681439402,179.2151753970097,179.14672169061595,176.4743848028256,174.34169594632993,176.79915504630657,164.67189308226676,171.3268259521203,178.4293802202084,156.31171389322262,170.7273982227996,178.43386168003062,165.09174198774474,169.30976172350086
149.17610270075164,173.8830012021193,176.20609973512714,179.63035493815204,178.9087837747376,175.5427499315443,175.71769299215595,165.16381929388638,173.61440748743297,179.32725142102504,158.68941155355992,174.25584167623296,179.87996711797422,167.68254397293984,169.24071939075947
146.68613047895784,173.9204110421615,179.24615166692914,179.9228028229147,179.1015873491955,179.47676541781806,173.6752294141614,166.87313698127255,175.60129464500443,177.86203428185922,163.5959654139311,170.5376777919745,178.3799855680025,165.8602599330927,173.29782305576865
151.4704284396086,168.32461393093698,178.096361282958,178.29864539467485,174.8055710922652,179.48383577023716,177.2325696077324,169.49283196258796,175.76360520094144,178.09613218048347,160.97641661853643,175.75978878986885,178.6370265711657,169.59228868750992,168.69006752597966
150.54293146454762,170.39801742381482,177.17603971075764,179.34596699897776,176.66683631350625,178.96073477061682,176.12049708561773,167.45903532529508,177.7974018382342,179.32557609388687,166.10156011874162,170.9097230791777,179.75142984793908,165.96375653207352,171.20258929000883
149.99137410173,174.72019407950916,178.0599421821401,179.9352224363082,179.14702411961662,176.48054696450473,177.2325696077324,169.65514251852477,175.60129464500474,179.51853419416472,162.6810615684852,175.60129464500466,178.5637424867701,171.25383773744468,167.47119229084848
147.22823564628573,174.64021021713788,177.17603971075764,179.50918579655627,179.03401483911736,176.59355624500554,177.9089936640867,169.65514251852477,172.9987324425047,179.70965225137388,162.6810615684852,172.8749836510981,177.70522208223153,170.0349625023135,169.39738689452403
148.01711218907752,174.2072035049676,178.99491399474513,178.84266693187053,174.80557109226535,179.18542295023923,176.07138035384716,166.05825938148232,175.19483963573435,177.8789036033384,160.55996517182382,170.27242144859855,179.37724431279406,169.69515353123398,167.47119229084848
150.31281836080635,170.7273982227997,178.85750057695526,178.8882543797868,178.95837332398915,173.75368437900994,177.52854919224743,167.07859085345518,177.7974018382342,179.61946764291085,162.01018146275723,172.8749836510981,178.886399390567,165.96375653207352,171.9099086585533
149.4034379116071,171.9367538343026,178.30284381039954,179.41536947929512,174.8055710922652,179.18542295023923,176.35033729562963,165.64552678612927,175.19483963573435,179.8820035629225,162.01018146275723,170.27242144859855,176.943728054772,171.25383773744468,167.47119229084848
148.01711218907752,172.3595932389731,178.30284381039954,178.8188110866718,174.8055710922652,179.18542295023923,177.21507997001615,167.07859085345518,175.19483963573435,179.57672327733155,159.64880680458165,172.51004731536761,179.49409015029318,169.69515353123398,167.47119229084848
